full_name,year,inc_decile_p0p10,inc_decile_p10p20,inc_decile_p20p30,inc_decile_p30p40,inc_decile_p40p50,inc_decile_p50p60,inc_decile_p60p70,inc_decile_p70p80,inc_decile_p80p90,inc_decile_p90p100,country_code,total_population,mean_income
Albania,1992,164,1310,2281,2909,3643,4346,5324,6494,8434,16007,AL,1870537,5091
Albania,1993,196,1565,2725,3475,4351,5191,6359,7757,10073,19119,AL,1843654,6081
Albania,1994,214,1711,2979,3799,4758,5676,6953,8481,11013,20904,AL,1816736,6649
Albania,1995,251,2007,3495,4457,5582,6659,8157,9950,12921,24525,AL,1796507,7800
Albania,1996,274,2193,3819,4871,6100,7277,8914,10874,14120,26801,AL,1809537,8524
Albania,1997,202,1796,3241,4168,5209,6230,7647,9355,12158,23266,AL,1828926,7327
Albania,1998,245,2004,3528,4511,5634,6773,8236,10152,13307,25396,AL,1851443,7979
Albania,1999,269,2175,3888,4989,6252,7542,9166,11313,14839,28601,AL,1872872,8903
Albania,2000,283,2263,4105,5351,6702,8102,9805,12100,15852,30406,AL,1890401,9497
Albania,2001,304,2432,4378,5758,7233,8780,10506,13074,17199,33248,AL,1906647,10291
Albania,2002,304,2429,4438,5843,7310,8848,10714,13428,17701,34369,AL,1920656,10539
Albania,2003,324,2589,4682,6153,7736,9303,11227,14028,18480,35973,AL,1932522,11049
Albania,2004,341,2730,4930,6465,8143,9794,11742,14630,19229,36981,AL,1942447,11498
Albania,2005,362,2897,5234,6806,8552,10278,12306,15333,20122,38385,AL,1950824,12027
Albania,2006,382,3053,5520,7188,9050,10945,13151,16264,21232,40519,AL,1967694,12731
Albania,2007,419,3348,5921,7676,9616,11614,13980,17284,22480,41409,AL,1979858,13375
Albania,2008,430,3441,6113,7895,9880,11910,14395,17832,23221,44564,AL,1988371,13968
Albania,2009,449,3592,6313,8085,10014,11937,14367,17754,23119,44494,AL,1995013,14013
Albania,2010,476,3806,6576,8371,10362,12422,14923,18437,24044,46393,AL,2001461,14581
Albania,2011,489,3911,6754,8557,10532,12567,15222,18814,24638,48318,AL,2020206,14980
Albania,2012,487,3892,6722,8545,10558,12619,15247,18784,24484,47423,AL,2041353,14876
Albania,2013,444,3555,6409,8522,10631,12545,15174,19103,25352,50902,AL,2064275,15264
Albania,2014,434,3476,5938,8098,10267,12247,14933,18811,25176,52556,AL,2088047,15194
Albania,2015,439,3514,6256,8461,10540,12457,15151,19115,25497,52502,AL,2111381,15393
Albania,2016,451,3608,6390,8695,10897,12950,15753,19867,26524,54067,AL,2124947,15920
Albania,2017,454,3636,6450,8803,11042,13076,15903,20071,26762,55453,AL,2141162,16165
Albania,2018,469,3750,6652,9083,11394,13491,16409,20706,27608,57027,AL,2157630,16659
Albania,2019,477,3818,6768,9245,11597,13727,16696,21059,28074,57704,AL,2171697,16917
Albania,2020,455,3644,6458,8818,11058,13085,15913,20059,26735,54718,AL,2182188,16094
Algeria,1980,393,3143,5816,7505,9315,11467,14159,18235,26418,100762,DZ,8182797,19721
Algeria,1981,393,3144,5819,7509,9320,11473,14167,18245,26433,100819,DZ,8465409,19732
Algeria,1982,400,3201,5925,7645,9489,11681,14424,18575,26912,102643,DZ,8773001,20089
Algeria,1983,408,3263,6039,7792,9671,11905,14701,18933,27430,104618,DZ,9100327,20476
Algeria,1984,420,3357,6212,8016,9949,12247,15123,19476,28217,107622,DZ,9441598,21064
Algeria,1985,418,3341,6182,7978,9901,12189,15051,19383,28082,107108,DZ,9793661,20963
Algeria,1986,400,3199,5921,7640,9482,11673,14414,18562,26893,102573,DZ,10149920,20076
Algeria,1987,383,3066,5674,7322,9088,11187,13815,17791,25775,98308,DZ,10520473,19241
Algeria,1988,364,2913,5392,6958,8635,10630,13127,16905,24492,93414,DZ,10904992,18283
Algeria,1989,385,3081,5705,7366,9157,11275,13962,17970,25968,94534,DZ,11303865,18940
Algeria,1990,384,3075,5699,7361,9165,11289,14016,18030,25990,90300,DZ,11717509,18531
Algeria,1991,370,2959,5487,7090,8841,10893,13558,17433,25070,83120,DZ,12138246,17482
Algeria,1992,383,3063,5683,7347,9174,11306,14107,18129,26013,82291,DZ,12570671,17750
Algeria,1993,361,2885,5358,6929,8665,10680,13357,17158,24566,74133,DZ,13016291,16409
Algeria,1994,351,2805,5212,6743,8443,10410,13047,16753,23936,68887,DZ,13479088,15659
Algeria,1995,363,2900,5391,6978,8748,10788,13550,17391,24799,68041,DZ,13962254,15895
Algeria,1996,371,2970,5478,7061,8821,10848,13581,17382,24705,67458,DZ,14456234,15867
Algeria,1997,375,2998,5489,7047,8773,10760,13428,17139,24279,65972,DZ,14973943,15626
Algeria,1998,386,3085,5609,7174,8900,10886,13542,17238,24338,65808,DZ,15511941,15696
Algeria,1999,392,3132,5656,7207,8912,10872,13483,17115,24084,64798,DZ,16062376,15565
Algeria,2000,409,3275,5875,7459,9193,11187,13829,17507,24554,65733,DZ,16621197,15902
Algeria,2001,414,3313,5905,7472,9179,11142,13731,17336,24232,64545,DZ,17211164,15727
Algeria,2002,433,3466,6140,7743,9482,11481,14106,17760,24743,65570,DZ,17797284,16092
Algeria,2003,446,3566,6280,7894,9637,11640,14258,17904,24860,65541,DZ,18387400,16203
Algeria,2004,457,3656,6403,8021,9764,11764,14367,17993,24900,65303,DZ,18988028,16263
Algeria,2005,489,3909,6809,8504,10321,12406,15106,18867,26023,67890,DZ,19597278,17032
Algeria,2006,500,3997,6926,8623,10435,12514,15193,18926,26016,67511,DZ,20190932,17064
Algeria,2007,524,4194,7229,8975,10830,12957,15686,19488,26699,68912,DZ,20772812,17550
Algeria,2008,539,4311,7394,9152,11014,13147,15870,19665,26850,68926,DZ,21349080,17687
Algeria,2009,533,4267,7285,8992,10791,12852,15470,19120,26017,66423,DZ,21930216,17175
Algeria,2010,559,4472,7599,9354,11196,13305,15970,19686,26698,67783,DZ,22520884,17662
Algeria,2011,570,4559,7713,9468,11304,13404,16043,19725,26660,67308,DZ,23068408,17675
Algeria,2012,571,4564,7721,9479,11316,13419,16061,19747,26690,67383,DZ,23651664,17695
Algeria,2013,566,4527,7659,9402,11225,13310,15932,19588,26474,66839,DZ,24240924,17552
Algeria,2014,567,4533,7668,9413,11238,13326,15950,19610,26505,66916,DZ,24798136,17572
Algeria,2015,566,4528,7660,9403,11226,13312,15933,19590,26477,66847,DZ,25305772,17554
Algeria,2016,585,4681,7918,9720,11604,13760,16470,20250,27369,69098,DZ,25802444,18145
Algeria,2017,575,4603,7786,9559,11412,13532,16197,19914,26915,67951,DZ,26251454,17844
Algeria,2018,569,4553,7702,9455,11288,13385,16021,19698,26624,67216,DZ,26661502,17651
Algeria,2019,565,4524,7653,9395,11216,13300,15919,19572,26454,66787,DZ,27053832,17538
Algeria,2020,522,4174,7061,8668,10348,12271,14687,18058,24407,61619,DZ,27441806,16181
Angola,1980,291,2332,4316,5625,7168,9209,11711,15380,23217,74202,AO,3584376,15345
Angola,1981,268,2141,3962,5164,6580,8454,10751,14118,21313,68116,AO,3715693,14087
Angola,1982,258,2064,3820,4978,6344,8150,10364,13611,20546,65667,AO,3850474,13580
Angola,1983,260,2081,3851,5019,6395,8216,10449,13722,20715,66205,AO,3987818,13691
Angola,1984,267,2136,3954,5153,6566,8436,10728,14088,21267,67971,AO,4128062,14056
Angola,1985,261,2084,3858,5028,6407,8231,10468,13747,20751,66322,AO,4270373,13716
Angola,1986,260,2079,3848,5016,6391,8211,10442,13713,20701,66161,AO,4393891,13682
Angola,1987,263,2104,3894,5075,6467,8308,10566,13876,20947,66945,AO,4519632,13844
Angola,1988,264,2112,3909,5094,6491,8340,10606,13928,21025,67196,AO,4650811,13896
Angola,1989,256,2045,3784,4932,6285,8074,10268,13485,20356,65059,AO,4792075,13454
Angola,1990,241,1928,3569,4651,5927,7615,9684,12717,19198,61356,AO,4947031,12689
Angola,1991,236,1886,3490,4549,5797,7447,9471,12438,18775,60006,AO,5097478,12409
Angola,1992,221,1765,3267,4257,5425,6970,8864,11641,17572,56161,AO,5264479,11614
Angola,1993,156,1244,2303,3002,3825,4914,6250,8207,12390,39598,AO,5444882,8189
Angola,1994,155,1241,2298,2994,3816,4902,6234,8187,12359,39499,AO,5634260,8168
Angola,1995,167,1333,2467,3215,4096,5263,6693,8789,13268,42406,AO,5830267,8770
Angola,1996,157,1257,2331,3088,3967,5118,6551,8670,13175,44853,AO,6018050,8917
Angola,1997,166,1328,2468,3330,4317,5594,7212,9624,14727,53350,AO,6215436,10211
Angola,1998,151,1205,2246,3095,4053,5279,6857,9233,14233,54811,AO,6423787,10116
Angola,1999,126,1009,1887,2664,3530,4623,6055,8231,12788,52306,AO,6645137,9322
Angola,2000,115,920,1727,2509,3368,4437,5866,8056,12619,54786,AO,6880645,9440
Angola,2001,125,998,1850,2649,3545,4651,6126,8399,13049,54756,AO,7110130,9615
Angola,2002,150,1198,2196,3104,4140,5410,7101,9720,14984,60760,AO,7355028,10876
Angola,2003,158,1262,2289,3197,4251,5535,7241,9897,15140,59317,AO,7616771,10829
Angola,2004,175,1403,2524,3484,4621,5996,7819,10671,16205,61327,AO,7896857,11423
Angola,2005,203,1627,2901,3964,5244,6781,8816,12015,18118,66215,AO,8195655,12589
Angola,2006,226,1808,3200,4330,5714,7366,9548,12996,19464,68672,AO,8495212,13332
Angola,2007,261,2088,3669,4920,6478,8325,10762,14630,21766,74116,AO,8816596,14702
Angola,2008,278,2221,3878,5155,6773,8679,11191,15193,22459,73787,AO,9156320,14961
Angola,2009,279,2231,3900,5208,6865,8819,11411,15524,23036,77865,AO,9511062,15514
Angola,2010,270,2164,3789,5082,6722,8659,11244,15330,22837,79403,AO,9878954,15550
Angola,2011,263,2105,3691,4975,6605,8533,11121,15195,22728,81267,AO,10237432,15648
Angola,2012,269,2150,3777,5117,6818,8834,11558,15828,23773,87406,AO,10614307,16553
Angola,2013,266,2126,3740,5095,6816,8859,11638,15974,24094,91074,AO,11006418,16968
Angola,2014,263,2103,3707,5080,6824,8899,11739,16152,24469,95071,AO,11410969,17431
Angola,2015,249,1994,3521,4855,6551,8573,11359,15667,23841,95200,AO,11827622,17181
Angola,2016,224,1793,3174,4405,5972,7843,10440,14437,22070,90562,AO,12245456,16092
Angola,2017,205,1641,2912,4071,5546,7311,9778,13558,20823,87797,AO,12677966,15364
Angola,2018,183,1465,2606,3671,5028,6655,8944,12435,19192,83137,AO,13127081,14332
Angola,2019,175,1404,2497,3518,4818,6377,8570,11916,18391,79665,AO,13595455,13733
Angola,2020,162,1299,2310,3255,4458,5900,7930,11026,17017,73714,AO,14085328,12707
Argentina,1980,71,2135,4833,7925,10571,13613,17108,22302,32975,88705,AR,17083618,20024
Argentina,1981,64,1930,4369,7164,9556,12306,15465,20161,29808,80186,AR,17298588,18101
Argentina,1982,62,1861,4212,6908,9214,11866,14912,19440,28742,77319,AR,17556962,17454
Argentina,1983,64,1911,4325,7093,9461,12183,15312,19960,29512,79389,AR,17840938,17921
Argentina,1984,64,1912,4328,7098,9468,12192,15323,19975,29533,79447,AR,18124108,17934
Argentina,1985,59,1778,4025,6600,8804,11337,14248,18573,27461,73873,AR,18393438,16676
Argentina,1986,64,1916,4336,7111,9485,12214,15351,20011,29587,79591,AR,18690718,17967
Argentina,1987,65,1953,4421,7250,9671,12454,15652,20404,30167,81153,AR,18958052,18319
Argentina,1988,63,1906,4315,7076,9439,12154,15275,19913,29442,79200,AR,19212282,17878
Argentina,1989,55,1665,3769,6181,8245,10618,13344,17395,25719,69188,AR,19477906,15618
Argentina,1990,56,1675,3792,6217,8293,10680,13422,17497,25870,69592,AR,19764762,15709
Argentina,1991,61,1832,4147,6801,9072,11683,14682,19140,28298,76125,AR,20026546,17184
Argentina,1992,66,1979,4480,7346,9800,12620,15860,20675,30568,82231,AR,20306532,18562
Argentina,1993,70,2115,4786,7849,10470,13482,16944,22088,32658,87854,AR,20604114,19832
Argentina,1994,73,2207,4996,8193,10929,14073,17687,23057,34090,91705,AR,20916510,20701
Argentina,1995,69,2082,4712,7727,10308,13274,16682,21746,32152,86493,AR,21245158,19525
Argentina,1996,72,2154,4876,7996,10667,13736,17263,22504,33273,89506,AR,21597330,20205
Argentina,1997,77,2304,5215,8551,11407,14689,18461,24065,35581,95716,AR,21973970,21606
Argentina,1998,78,2349,5317,8719,11631,14977,18823,24537,36279,97594,AR,22363294,22030
Argentina,1999,74,2220,5026,8241,10993,14156,17791,23192,34291,92245,AR,22749412,20823
Argentina,2000,72,2159,4903,8040,10724,13810,17356,22625,33452,90049,AR,23122438,20319
Argentina,2001,0,1696,3612,6758,9393,12440,16142,21379,32049,86838,AR,23500086,19031
Argentina,2002,0,1467,3158,5580,7748,10189,13323,17730,26607,73756,AR,23854104,15956
Argentina,2003,453,2312,4494,6878,9059,11692,15005,19772,28968,74977,AR,24195208,17361
Argentina,2004,1070,3578,6559,9078,11443,14527,18326,23923,34238,82336,AR,24539504,20508
Argentina,2005,1345,4091,7267,9924,12356,15443,19764,26355,39357,88507,AR,24895116,22441
Argentina,2006,1282,4245,7534,10356,12849,16325,21025,27662,40254,94530,AR,25234954,23606
Argentina,2007,1351,4547,7982,10652,13325,16824,21069,27736,41533,104597,AR,25588588,24962
Argentina,2008,1527,5322,8825,11329,14313,17919,22531,29984,45488,105527,AR,25953720,26276
Argentina,2009,1339,4661,7812,10071,12890,16481,21071,28444,42847,95332,AR,26325670,24095
Argentina,2010,1519,5542,9108,11716,14790,18466,23292,30673,46548,108579,AR,26703538,27023
Argentina,2011,1601,6390,10319,13005,16235,20362,25898,34666,50642,114807,AR,27101888,29393
Argentina,2012,1555,6473,10605,13065,16501,20990,26774,35436,52812,106820,AR,27507482,29103
Argentina,2013,1541,6539,11235,14012,17463,21942,27602,36186,53092,113222,AR,27916104,30283
Argentina,2014,1492,6089,10020,12451,15764,20151,25820,34788,51530,112016,AR,28323818,29012
Argentina,2015,1620,6457,10875,13476,16782,21111,26586,34773,49913,113160,AR,28726966,29475
Argentina,2016,1654,6460,11109,13731,16848,20881,25866,32838,45580,108029,AR,29109270,28300
Argentina,2017,1782,6832,11971,14764,17875,21850,26640,32825,43954,109190,AR,29488734,28768
Argentina,2018,1634,5983,10605,13167,16083,19807,24344,30356,41036,110356,AR,29865222,27337
Argentina,2019,1510,5251,9434,11802,14561,18081,22419,28316,38660,112183,AR,30239264,26222
Argentina,2020,1328,4618,8296,10379,12806,15902,19717,24902,33999,98659,AR,30612598,23061
Armenia,1980,173,1382,2448,3068,3873,4892,6304,8396,11871,39178,AM,1799764,8158
Armenia,1981,169,1353,2397,3004,3792,4791,6173,8222,11625,38365,AM,1855533,7989
Armenia,1982,166,1329,2355,2951,3725,4706,6063,8075,11418,37683,AM,1905692,7847
Armenia,1983,163,1308,2318,2904,3666,4631,5967,7948,11237,37088,AM,1951449,7723
Armenia,1984,161,1288,2282,2860,3610,4561,5877,7827,11067,36524,AM,1995150,7606
Armenia,1985,159,1269,2248,2817,3557,4493,5789,7711,10902,35981,AM,2037774,7493
Armenia,1986,156,1249,2214,2774,3502,4424,5701,7593,10735,35430,AM,2082658,7378
Armenia,1987,154,1234,2186,2739,3458,4368,5628,7497,10599,34982,AM,2126932,7285
Armenia,1988,154,1228,2176,2727,3442,4348,5603,7462,10551,34821,AM,2164858,7251
Armenia,1989,155,1240,2197,2753,3475,4390,5657,7535,10653,35159,AM,2189350,7321
Armenia,1990,164,1310,2320,2907,3671,4637,5975,7958,11251,37133,AM,2196380,7732
Armenia,1991,145,1164,2063,2584,3263,4122,5310,7073,10001,33006,AM,2180153,6873
Armenia,1992,85,677,1199,1503,1897,2397,3088,4113,5816,19194,AM,2145630,3997
Armenia,1993,78,626,1109,1389,1753,2215,2854,3801,5375,17739,AM,2100616,3694
Armenia,1994,84,676,1198,1501,1895,2394,3084,4108,5808,19168,AM,2055659,3992
Armenia,1995,96,768,1360,1704,2152,2718,3502,4665,6595,21767,AM,2018411,4533
Armenia,1996,101,811,1437,1801,2273,2872,3700,4928,6968,22998,AM,1996325,4789
Armenia,1997,120,962,1654,2045,2556,3193,4071,5352,7451,24392,AM,1984564,5180
Armenia,1998,139,1112,1866,2275,2809,3466,4364,5655,7744,25033,AM,1981382,5446
Armenia,1999,151,1211,1994,2412,2961,3628,4535,5822,7875,25317,AM,1983003,5591
Armenia,2000,168,1344,2216,2684,3250,3921,4821,6128,8378,25889,AM,1986119,5880
Armenia,2001,189,1515,2502,3044,3653,4359,5298,6691,9260,27728,AM,1997290,6424
Armenia,2002,212,1697,2803,3367,4033,4822,5904,7456,10212,31641,AM,2008104,7215
Armenia,2003,257,2059,3366,3988,4742,5637,6791,8484,11301,35816,AM,2018454,8244
Armenia,2004,262,2094,3433,4130,4938,5888,7232,9065,12378,42846,AM,2028609,9227
Armenia,2005,310,2476,4029,4780,5701,6824,8294,10437,14128,48270,AM,2038574,10525
Armenia,2006,416,3324,5430,6451,7650,9111,10927,13433,17379,46591,AM,2043939,12071
Armenia,2007,443,3544,5858,7162,8545,10110,12277,15370,20466,54267,AM,2049421,13804
Armenia,2008,514,4114,6682,7999,9510,11357,13796,16908,22069,56513,AM,2055468,14946
Armenia,2009,443,3540,5778,6828,8054,9545,11527,14238,18556,46678,AM,2062727,12519
Armenia,2010,426,3406,5550,6647,7903,9316,11220,13871,18302,51153,AM,2072042,12779
Armenia,2011,457,3655,5957,7128,8417,9937,11952,14785,19281,50228,AM,2086372,13180
Armenia,2012,487,3893,6380,7652,9037,10664,12715,15486,19931,53854,AM,2105134,14010
Armenia,2013,494,3950,6443,7732,9260,10983,13232,16282,21409,56847,AM,2125117,14663
Armenia,2014,481,3847,6297,7624,9184,11019,13197,16176,21046,59191,AM,2142785,14806
Armenia,2015,463,3705,6117,7508,9043,10838,13090,16000,20646,61866,AM,2156006,14928
Armenia,2016,426,3404,5609,7007,8787,10688,13106,16197,21128,59419,AM,2166251,14577
Armenia,2017,473,3784,6179,7407,8861,10624,12930,16321,21775,70878,AM,2171887,15923
Armenia,2018,480,3844,6311,7584,9094,10967,13332,16640,22163,73253,AM,2174095,16367
Armenia,2019,572,4580,7542,9113,10904,12823,15432,19023,24797,71687,AM,2174827,17647
Armenia,2020,519,4155,6843,8268,9893,11635,14002,17260,22499,65043,AM,2175453,16012
Australia,1980,1211,9691,15452,19062,25719,35390,45401,58042,69226,90364,AU,9676805,36956
Australia,1981,1235,9881,15761,19453,26263,36172,46426,59487,71214,92053,AU,9900675,37794
Australia,1982,1190,9518,15194,18780,25405,35105,45371,58563,71176,92528,AU,10150267,37283
Australia,1983,1166,9325,14874,18361,24794,34170,44021,56441,67677,87318,AU,10361571,35815
Australia,1984,1199,9589,15295,18879,25493,35094,44728,57370,68789,91259,AU,10556177,36769
Australia,1985,1222,9773,15592,19256,26018,35862,45873,58995,71191,96169,AU,10758065,37995
Australia,1986,1208,9661,15420,19059,25782,35606,45754,59116,72064,99945,AU,10971610,38361
Australia,1987,1159,9276,14813,18331,24844,34413,44431,57853,71515,106441,AU,11190263,38308
Australia,1988,1177,9419,15042,18616,25234,34952,45017,58690,72713,117400,AU,11425459,39826
Australia,1989,1255,10041,16025,19803,26784,36954,47104,60883,74247,110382,AU,11676326,40348
Australia,1990,1273,10184,16252,20080,27152,37467,47995,61946,75399,108488,AU,11907731,40624
Australia,1991,1190,9522,15207,18819,25507,35348,45850,59692,73804,106611,AU,12134432,39155
Australia,1992,1166,9329,14898,18441,25002,34651,44808,58415,72363,106546,AU,12344339,38562
Australia,1993,1203,9627,15375,19036,25817,35789,46161,60275,74840,113136,AU,12512967,40126
Australia,1994,1232,9853,15735,19486,26437,36666,47298,61848,76979,118643,AU,12682542,41418
Australia,1995,1264,10114,16152,19992,27103,37555,48495,63216,78281,118660,AU,12866035,42083
Australia,1996,1320,10560,16859,20844,28214,39007,50257,65153,80004,120587,AU,13058489,43281
Australia,1997,1326,10609,16942,20969,28427,39411,51146,66707,82816,128137,AU,13244655,44649
Australia,1998,1368,10945,17479,21634,29329,40656,52659,68695,85285,133693,AU,13413364,46174
Australia,1999,1375,11002,17571,21768,29550,41062,53562,70234,88020,144230,AU,13589294,47838
Australia,2000,1407,11257,17978,22273,30240,42019,54680,71756,90023,151416,AU,13769673,49305
Australia,2001,1463,11706,18692,23124,31324,43370,56076,72961,90201,144810,AU,13974482,49373
Australia,2002,1473,11782,18816,23294,31591,43819,56837,74284,92566,153067,AU,14178693,50753
Australia,2003,1506,12049,19242,23803,32246,44640,57590,74974,92768,155852,AU,14390700,51467
Australia,2004,1545,12359,19736,24415,33076,45788,59043,76878,95137,162707,AU,14590609,53069
Australia,2005,1519,12153,19409,24038,32619,45295,58941,77221,96650,166689,AU,14813921,53453
Australia,2006,1482,11859,18941,23483,31915,44426,58055,76521,96769,175380,AU,15055897,53883
Australia,2007,1546,12369,19753,24457,33175,46042,59883,78337,97775,171653,AU,15360040,54499
Australia,2008,1644,13153,20997,25957,35131,48580,62775,81398,100053,165149,AU,15700691,55484
Australia,2009,1620,12960,20697,25633,34784,46445,61338,77366,97631,171534,AU,16071175,55001
Australia,2010,1599,12794,20433,25309,34350,46140,60741,78055,98090,172547,AU,16373004,55006
Australia,2011,1643,13144,20992,26005,35302,47342,61150,78955,98749,168897,AU,16652952,55218
Australia,2012,1589,12711,20303,25201,34308,46498,59856,77896,99785,176495,AU,16968052,55464
Australia,2013,1544,12350,19729,24509,33407,45521,60540,78616,101280,185350,AU,17279866,56285
Australia,2014,1542,12334,19703,24475,33357,46151,59589,78129,101045,182836,AU,17578273,55916
Australia,2015,1493,11941,19076,23703,32319,45041,58367,76853,99166,180067,AU,17862186,54803
Australia,2016,1521,12167,19437,24153,32936,45551,59631,78633,101621,180958,AU,18117178,55661
Australia,2017,1527,12215,19514,24246,33055,45638,59096,77595,99385,188019,AU,18349896,56029
Australia,2018,1548,12384,19784,24581,33513,46244,59766,78440,100463,191187,AU,18567204,56791
Australia,2019,1538,12301,19651,24416,33287,45949,59456,78053,99971,189556,AU,18780588,56418
Australia,2020,1471,11771,18803,23363,31852,43967,56891,74687,95660,181381,AU,18996742,53985
Austria,1980,1648,13186,23735,26472,28876,34028,37789,42841,52911,127893,AT,5402845,38938
Austria,1981,1556,13631,23749,26051,28307,33201,37015,42142,52527,125536,AT,5436942,38371
Austria,1982,1768,14142,24113,26224,28269,33192,36846,42131,54058,128029,AT,5474803,38877
Austria,1983,1486,11887,21123,27766,29857,34943,38913,44580,55143,133366,AT,5516422,39906
